Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
3560000,0.0,0.0,0.0,0.0,0.0,0.0,15866,15880,15893,15905,15917,15892,
3570000,0.0,0.0,0.0,0.0,0.0,0.0,15930,15944,15957,15970,15979,15956,
3580000,0.0,0.0,0.0,0.0,0.0,0.0,15993,16006,16018,16028,16042,16017,
3590000,0.0,0.0,0.0,0.0,0.0,0.0,16055,16066,16079,16093,16106,16079,
3600000,0.0,0.0,0.0,0.0,0.0,0.0,16118,16127,16139,16153,16166,16140,
3610000,0.0,0.0,0.0,0.0,0.0,0.0,16178,16187,16201,16212,16223,16200,
3620000,0.0,0.0,0.0,0.0,0.0,0.0,16236,16250,16264,16277,16291,16263,
3630000,0.0,0.0,0.0,0.0,0.0,0.0,16302,16316,16329,16341,16355,16328,
3640000,0.0,0.0,0.0,0.0,0.0,0.0,16366,16379,16392,16405,16419,16392,
3650000,0.0,0.0,0.0,0.0,0.0,0.0,16432,16441,16455,16469,16481,16455,
3660000,0.0,0.0,0.0,0.0,0.0,0.0,16494,16508,16521,16535,16548,16521,
3670000,0.0,0.0,0.0,0.0,0.0,0.0,16560,16572,16586,16599,16612,16585,
3680000,0.0,0.0,0.0,0.0,0.0,0.0,16624,16637,16650,16663,16677,16650,
3690000,0.0,0.0,0.0,0.0,0.0,0.0,16689,16702,16713,16724,16737,16713,
3700000,0.0,0.0,0.0,0.0,0.0,0.0,16751,16763,16772,16786,16796,16773,
3710000,0.0,0.0,0.0,0.0,0.0,0.0,16809,16822,16835,16848,16861,16835,
3720000,0.0,0.0,0.0,0.0,0.0,0.0,16873,16885,16897,16911,16921,16897,
3730000,0.0,0.0,0.0,0.0,0.0,0.0,16931,16945,16958,16971,16984,16957,
3740000,0.0,0.0,0.0,0.0,0.0,0.0,16996,17010,17024,17033,17042,17021,
3750000,0.0,0.0,0.0,0.0,0.0,0.0,17055,17068,17081,17092,17106,17080,
3760000,0.0,0.0,0.0,0.0,0.0,0.0,17120,17134,17147,17160,17173,17146,
3770000,0.0,0.0,0.0,0.0,0.0,0.0,17186,17199,17211,17222,17234,17210,
3780000,0.0,0.0,0.0,0.0,0.0,0.0,17247,17260,17273,17280,17293,17270,
